user_pk,name,profile_pic_url,text,text_translated,published,like_count,reply_count,polarity,subjectivity,afinn_score,polarity_en,subjectivity_en,afinn_score_en
8119687651,alinaatnabaeva4,https://instagram.fist1-4.fna.fbcdn.net/v/t51.2885-19/346109849_198774499665824_2515236125864458756_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-4.fna.fbcdn.net&_nc_cat=108&_nc_ohc=SO58lfbBrH4AX-TWM8h&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBr-y0L-KvfJJnmKpyvNAPFMkePc3GWrsLNOm0L0J1etQ&oe=64752BEF&_nc_sid=fb4ee2,b'\xf0\x9f\x98\x8d',,2023-05-23 07:55:23+00:00,0,0,0.0,0.0,0.0,0,0,0
59099107753,fidosshuseynova_,https://instagram.fist1-4.fna.fbcdn.net/v/t51.2885-19/346936745_596943548865429_3900726966406776701_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-4.fna.fbcdn.net&_nc_cat=109&_nc_ohc=SP-b0QQ1EJoAX_kwK9m&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDWqSbbACAfO2kRC9Ong42A05H-I4rBFmPhqrbjct8_jw&oe=6474CE75&_nc_sid=fb4ee2,b'Bal kaymak can\xc4\xb1m\xe2\x9d\xa4\xef\xb8\x8f',Honey cream my dear❤️,2023-05-23 05:07:59+00:00,0,0,0.0,0.0,0.0,0.0,0.0,2.0
56561699034,asan53gmi,https://instagram.fist1-3.fna.fbcdn.net/v/t51.2885-19/349033520_208045502078293_33829326544822891_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-3.fna.fbcdn.net&_nc_cat=101&_nc_ohc=HPdU-457yvMAX9sDDEV&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBzgVF1fUY4p0hyJjRei9TNCzz56KFHNqxDwqleJzBdUg&oe=6474A954&_nc_sid=fb4ee2,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d gon',❤️❤️😍 gon,2023-05-23 01:00:09+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38088400640,eyyuptoprak063,https://instagram.fist1-3.fna.fbcdn.net/v/t51.2885-19/275854548_296588015832281_8471207573448850242_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-3.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Q9YYg-WGX-kAX8Obzbk&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCvNrd7TJZYa6MzmbcBBDGRiCfDHy0pL4l1IrvC3UUR5Q&oe=64743C01&_nc_sid=fb4ee2,b'\xf0\x9f\x92\x99\xf0\x9f\x92\x99',,2023-05-22 19:51:56+00:00,0,0,0.0,0.0,0.0,0,0,0
11883008295,dilarayildirim384,https://instagram.fist1-3.fna.fbcdn.net/v/t51.2885-19/345146510_1584242482059054_8735120307449859793_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=06I47Yd9-F4AX8tHCcC&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAVRz0Dv7bRp5C4iP8hSRObkaQ3_atVHwg466ahw_Hapw&oe=647420F1&_nc_sid=fb4ee2,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',,2023-05-22 19:28:23+00:00,0,0,0.0,0.0,0.0,0,0,0
57243637291,berat.8156,https://instagram.fist1-4.fna.fbcdn.net/v/t51.2885-19/347080564_262057102902632_7914899673546634593_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-4.fna.fbcdn.net&_nc_cat=108&_nc_ohc=CpGeE_qgtHQAX9K-drT&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfALvTINMplny0QmU9qOA8QL8Rw-wyPRWzVTmK_9P-Y7Jw&oe=64749E48&_nc_sid=fb4ee2,b'\xc3\x96z abim\xf0\x9f\x94\xa5 g\xc3\xb6r yorumu',My own brother🔥 see comment,2023-05-22 17:54:39+00:00,1,0,0.0,0.0,0.0,0.6,1.0,0.0
42286751106,famirahser,https://instagram.fist1-4.fna.fbcdn.net/v/t51.2885-19/288659541_154449030449590_539928453151695543_n.jpg?stp=dst-jpg_s150x150&_nc_ad=z-m&_nc_ht=instagram.fist1-4.fna.fbcdn.net&_nc_cat=110&_nc_ohc=EsVjrcWat4AAX_Js9zD&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB5nA4O7QleoonbK-jSLK9ZLOv316uUnj9eH5UFQm5CQA&oe=647519D7&_nc_sid=fb4ee2,b'Heyt be karizma adam bu sene dufy ahmet Kayakesen i\xc5\x9f birli\xc4\x9fi ile daha bir \xc4\xb1\xc5\x9f\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1z\xc4\xb1 y\xc3\xbckseltin @dufyonline \xf0\x9f\xa4\xa9',"Hey, charisma man, raise your light again this year in cooperation with dufy ahmet Kayakesen @dufyonline 🤩",2023-05-22 17:33:54+00:00,0,0,0.0,0.0,0.0,0.4,0.7,2.0
53637185640,kayakesen_aa,https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=CXVOWmQ6vZEAX8D6Wqk&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCr1Si7hrTcy23WppF-Hu7qdRwj05zn7UdX_UqMEv4C2A&oe=64740A8F&_nc_sid=5f7460,b'it is immediately clear that you are a libra\xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f',it is immediately clear that you are a libra😂❤️,2023-05-22 16:18:05+00:00,2,0,0.10000000000000002,0.3833333333333333,1.0,0.10000000000000002,0.3833333333333333,1.0
53637185640,kayakesen_aa,https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=CXVOWmQ6vZEAX8D6Wqk&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCr1Si7hrTcy23WppF-Hu7qdRwj05zn7UdX_UqMEv4C2A&oe=64740A8F&_nc_sid=5f7460,b'\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x94\xa5',,2023-05-22 16:17:34+00:00,1,0,0.0,0.0,0.0,0,0,0
53637185640,kayakesen_aa,https://instagram.fvlc6-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fvlc6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=CXVOWmQ6vZEAX8D6Wqk&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCr1Si7hrTcy23WppF-Hu7qdRwj05zn7UdX_UqMEv4C2A&oe=64740A8F&_nc_sid=5f7460,"b""@ilayerkok  i think you have to like it... if you don't like it, i'll hang myself !!!!!\xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f""","@ilayerkok  i think you have to like it... if you don't like it, i'll hang myself !!!!!😂❤️❤️❤️❤️❤️❤️❤️",2023-05-22 16:17:31+00:00,2,0,0.0,0.0,4.0,0.0,0.0,4.0
